genes	endo03_FC	endo03_FDR	endo06_FC	endo06_FDR	endo09_FC	endo09_FDR	endo12_FC	endo12_FDR	endo15_FC	endo15_FDR	endo18_FC	endo18_FDR	ovary03_FC	ovary03_FDR	ovary06_FC	ovary06_FDR	ovary09_FC	ovary09_FDR	ovary12_FC	ovary12_FDR	ovary15_FC	ovary15_FDR	ovary18_FC	ovary18_FDR	ovid03_FC	ovid03_FDR	ovid06_FC	ovid06_FDR	ovid09_FC	ovid09_FDR	ovid12_FC	ovid12_FDR	ovid15_FC	ovid15_FDR	ovid18_FC	ovid18_FDR	absMAX_FC	FC_sample	Min_FDR	FDR_sample
ENSSSCG00000010023	2.21092905196144	0.43818531324364	1.6199690898992	0.525073474284381	2.49443031065124	0.0665195199559866	3.18828112305378	0.0123139348316888	-1.63587299322967	0.414643885797533	-0.500377258905678	0.999963438149354	3.47111956732427	0.00630663222124288	2.93171208896159	0.0220480742552973	4.22156292996262	0.000543941459152119	5.24396846437425	1.0959096031227e-05	3.2889120889346	0.00587156707574207	0.658571885951488	0.999898616998068	1.25632188986967	0.951350958559678	-1.2126533595936	0.99998075372639	-0.218560455676693	0.999991240463336	-0.82365932909257	0.999791955937091	-0.69825642282463	0.999951635344029	1.29491320497721	0.999918096269946	5.24396846437425	ovary12	1.0959096031227e-05	ovary12
ENSSSCG00000010036	1.37802165215528	0.999970279305184	3.81401816383375	0.00237193334932687	5.70984030687587	3.22376535159417e-06	4.62661056144525	0.000142375443040298	-0.33367297056554	0.999107661984216	1.23015225833472	0.999963438149354	-0.338598152808776	0.999746826372654	-0.531277782856196	0.983170793843634	-0.320777864727404	0.982307921028474	0.690188359879989	0.847990678548615	-0.353820882736141	0.999560378701902	-0.275064353351647	0.999898616998068	0.658963282814974	0.999905160632868	1.35146185871746	0.894592745812668	1.01386307557054	0.999991240463336	1.3473834363759	0.671887871508497	0.209701416708374	0.999951635344029	0.528267659979481	0.999918096269946	5.70984030687587	endo09	3.22376535159417e-06	endo09
ENSSSCG00000010148	0.0761735606592187	0.999970279305184	-0.782215839448489	0.999982221946195	-1.13286445645611	0.71096503325219	-0.89010221012106	0.803720504445492	-0.865320230379207	0.904032675593166	-0.3131707381151	0.999963438149354	1.78677829490338	0.328350872533423	6.20148942670949	6.70155741983597e-07	5.22891010031527	1.86453887078757e-05	3.89297800921107	0.00084695309855186	2.49395032016478	0.0495670213720793	1.07858954744958	0.836870758782287	-1.83189738056645	0.436996613169688	-0.220365764365171	0.99998075372639	-0.515797453953537	0.999991240463336	-0.895674493558703	0.989405419745913	-0.537748115406836	0.999951635344029	-0.0207938243019692	0.999918096269946	6.20148942670949	ovary06	6.70155741983597e-07	ovary06
ENSSSCG00000010190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.54497026194641	4.38120815447602e-07	-5.31469158467719	6.05517960214638e-05	-12.161373035534	1.98172706115373e-09	-9.00302976772746	1.95180042439487e-08	-1.22754133333335	0.999951635344029	-0.159971315209574	0.999918096269946	12.161373035534	ovid09	0	endo03
ENSSSCG00000010273	0.314508823920555	0.999970279305184	0.999500150209674	0.999982221946195	-0.527858195505275	0.999890466505892	-1.35046578602822	0.561581440619894	-0.969246298276013	0.854581330901881	-0.436122197963866	0.999963438149354	0	0	0	0	0	0	0	0	6.32358026112928	7.24180984519904e-05	6.9700948450045	2.13815089954387e-05	-1.27838038560237	0.946442470987154	-1.38469250023114	0.881183404281124	-1.01927072026315	0.999991240463336	-2.03143900599652	0.249311674201972	0.385321779762438	0.999951635344029	-2.57768662673568	0.326382774149354	6.9700948450045	ovary18	0	ovary03
ENSSSCG00000010325	2.13571947055487	0.484587015820347	1.85986690680147	0.348211406445417	1.63345824382043	0.349601538994673	2.78166005064213	0.033830456784702	0.173539281394242	0.999107661984216	0.58430731836832	0.999963438149354	-2.04392629741055	0.20808756924789	-3.36401765785977	0.00768672141728228	-3.72547627798898	0.00262838138126142	-8.26318270292443	2.75552561922257e-09	-1.08400702149531	0.672282066382634	-1.64496426080779	0.432121243954813	1.44902966602463	0.755316264538974	1.10473134266704	0.99998075372639	0.416224719761249	0.999991240463336	-1.03966269376377	0.900468140392012	1.22267131826219	0.999951635344029	-0.603674374383454	0.999918096269946	8.26318270292443	ovary12	2.75552561922257e-09	ovary12
ENSSSCG00000010336	1.08071459982191	0.999970279305184	0	0	0	0	0	0	0	0	0.883733232505979	0.999963438149354	0	0	0	0	0	0	0	0	9.48170590551383	6.10014303563557e-06	7.43087910344397	0.00538061466710526	2.2472566319984	0.499039069334039	0	0	1.5142318730311	0.999815075630288	2.0387350603614	0.504954287890086	0	0	0	0	9.48170590551383	ovary15	0	endo06
ENSSSCG00000010337	0.183998525907858	0.999970279305184	-1.55340877534403	0.689361810146181	-2.38060392011678	0.159802661309253	-1.36296998595888	0.585386546238248	-0.403303554261725	0.999107661984216	0.41959582363689	0.999963438149354	0	0	0	0	0	0	0	0	5.89905818374911	6.5245943000719e-06	3.78901839956144	0.0086809311186987	1.44163480954285	0.799562177601876	0.584947004137032	0.99998075372639	1.44686522451735	0.755679085544069	0.877426239508393	0.999791955937091	0.296798066211032	0.999951635344029	0.858350335024989	0.999918096269946	5.89905818374911	ovary15	0	ovary03
ENSSSCG00000010370	-0.843816708799303	0.999970279305184	-2.09398933242252	0.24286848010303	-1.97151571968501	0.207529243128942	1.14201981913157	0.647374969786444	0.999845335034327	0.816991553362682	0.296823685439335	0.999963438149354	-1.17100111476431	0.7964797834788	-1.81157556325921	0.348232524534668	-1.14696284287343	0.699607006655435	-0.233385884468925	0.974339729172571	5.84409016618119	1.63868713598266e-06	1.64704661975064	0.460445771324163	0.589320169384489	0.999905160632868	-0.855580803295555	0.99998075372639	-0.772468265930118	0.999991240463336	1.39185985662912	0.63195923720994	2.0107111610172	0.381969579735943	-1.19834708936091	0.999918096269946	5.84409016618119	ovary15	1.63868713598266e-06	ovary15
ENSSSCG00000010400	-0.0318413088965382	0.999970279305184	0.0735413295306413	0.999982221946195	0.0384477665815606	0.999890466505892	0.383382719659146	0.957232074545816	-0.00626226059133024	0.999107661984216	0.136149387091764	0.999963438149354	0.886929924850714	0.898096123310655	5.44894733485575	8.70165794484762e-06	5.61619848778725	4.90010008835389e-06	5.88328430075352	1.07835792735576e-06	4.53127748483672	0.000118546910491563	0.688469462841704	0.999898616998068	-0.545334486361018	0.999905160632868	2.94104017286685	0.0415664460024374	3.38966635205299	0.0106595211816266	2.1671559164351	0.175632502315045	3.07449960013258	0.0306152877123189	-1.07629415498969	0.999918096269946	5.88328430075352	ovary12	1.07835792735576e-06	ovary12
