,logFC,PValue,FDR
ENSSSCG00000062107,8.0523468013728,9.51571991720896e-06,0.00082398559780608
ENSSSCG00000009977,4.40432247204484,9.87507458468392e-06,0.000850869669041701
ENSSSCG00000039200,4.15289929828116,1.02836283257097e-05,0.000881707147827474
ENSSSCG00000025784,-4.76870971015962,1.0541662760095e-05,0.00089940019774242
ENSSSCG00000011412,4.08634167379252,1.07519933604203e-05,0.000912870460673734
ENSSSCG00000009631,-8.16585342001694,1.10257321479753e-05,0.000927066995340633
ENSSSCG00000008522,-8.16585342001694,1.10257321479753e-05,0.000927066995340633
ENSSSCG00000051977,8.0052222323223,1.12778981694184e-05,0.000939195299706827
ENSSSCG00000005756,8.0052222323223,1.12778981694184e-05,0.000939195299706827
ENSSSCG00000004849,-4.74583341626115,1.15250403234691e-05,0.000953603418490507
ENSSSCG00000040715,-5.14965954131259,1.16451969610418e-05,0.000953603418490507
ENSSSCG00000023716,-4.07315245813294,1.16607062201472e-05,0.000953603418490507
ENSSSCG00000003073,-4.89599673895544,1.17143632054905e-05,0.000953603418490507
ENSSSCG00000029449,-4.6360824326406,1.17248567398431e-05,0.000953603418490507
ENSSSCG00000023972,4.03893024066088,1.23197583173591e-05,0.000997327411691327
ENSSSCG00000054443,-8.12751503649474,1.26287134851383e-05,0.00101760536207793
ENSSSCG00000013248,-4.02246670266054,1.30712089248501e-05,0.00104840733335031
ENSSSCG00000036008,-4.18639997709984,1.31718693376264e-05,0.00105163479734582
ENSSSCG00000028730,4.51883024767908,1.39145650772619e-05,0.00110585847109472
ENSSSCG00000055934,4.02431590994641,1.3979124577952e-05,0.00110593937854207
ENSSSCG00000013909,-5.0979029296072,1.41911874641693e-05,0.00111763627970075
ENSSSCG00000046603,-8.08812996520215,1.45077884309238e-05,0.00112726811446531
ENSSSCG00000055056,-8.08812996520215,1.45077884309238e-05,0.00112726811446531
ENSSSCG00000016521,-8.08812996520215,1.45077884309238e-05,0.00112726811446531
ENSSSCG00000053850,-4.12818567130569,1.47990909027812e-05,0.00114479189850181
ENSSSCG00000003721,4.08455161872278,1.50363900665632e-05,0.0011580016332236
ENSSSCG00000004679,4.00135566664862,1.51211818090876e-05,0.00115940162725625
ENSSSCG00000002777,4.04981928578931,1.54595755367358e-05,0.00118014873779336
ENSSSCG00000004136,3.98383975221957,1.56440499546599e-05,0.00118901611118278
ENSSSCG00000063035,7.90608758624596,1.60679676799105e-05,0.00121592598899496
ENSSSCG00000008824,-4.24984099018849,1.65039247148431e-05,0.00124350999853612
ENSSSCG00000013411,-3.97325204332583,1.66489472423488e-05,0.0012442434975897
ENSSSCG00000062812,-8.04763944629038,1.67182941192342e-05,0.0012442434975897
ENSSSCG00000007139,4.06558813879649,1.67281228633146e-05,0.0012442434975897
ENSSSCG00000021767,4.09421739333251,1.70266704002059e-05,0.00126106041836418
ENSSSCG00000035958,-3.97246655424962,1.73173664003661e-05,0.00127588844349619
ENSSSCG00000000692,-4.25914787930172,1.73734881418326e-05,0.00127588844349619
ENSSSCG00000009645,3.93273831808309,1.90827885824364e-05,0.00138439936691166
ENSSSCG00000061098,5.02058396894956,1.92522560959519e-05,0.00138439936691166
ENSSSCG00000024347,7.85384291123488,1.93260658353102e-05,0.00138439936691166
ENSSSCG00000049044,7.85384291123488,1.93260658353102e-05,0.00138439936691166
ENSSSCG00000041701,-8.00597962859086,1.93282991186173e-05,0.00138439936691166
ENSSSCG00000062406,-8.00597962859086,1.93282991186173e-05,0.00138439936691166
ENSSSCG00000021411,3.93228120907153,1.9722256550163e-05,0.00140682735760486
ENSSSCG00000016792,-3.90397504989103,2.09397922559392e-05,0.00148757993556988
ENSSSCG00000032433,-7.96308096388553,2.24219299626073e-05,0.00157997445748656
ENSSSCG00000040615,-7.96308096388553,2.24219299626073e-05,0.00157997445748656
ENSSSCG00000004361,-3.96867744950869,2.25822984241411e-05,0.001584858484162
ENSSSCG00000007603,3.88497920284668,2.27279974632704e-05,0.00158867789497278
ENSSSCG00000053280,4.00913581943307,2.3014570821821e-05,0.00159576631908712
ENSSSCG00000007538,-4.96938728302866,2.30857448894953e-05,0.00159576631908712
ENSSSCG00000036149,4.97258347531569,2.31044592019508e-05,0.00159576631908712
ENSSSCG00000047187,7.79963496786297,2.33728561124337e-05,0.00160159275841303
ENSSSCG00000036662,7.79963496786297,2.33728561124337e-05,0.00160159275841303
ENSSSCG00000015101,-4.53517758213141,2.59790893894394e-05,0.00176079767808635
ENSSSCG00000024428,3.95328507585955,2.61005187939505e-05,0.00176079767808635
ENSSSCG00000035066,-7.91886750832664,2.61036763753155e-05,0.00176079767808635
ENSSSCG00000031977,-3.86390931713825,2.61053389940266e-05,0.00176079767808635
ENSSSCG00000007995,3.86058242691716,2.62020453102191e-05,0.00176079767808635
ENSSSCG00000038001,3.84633618911195,2.73027962725276e-05,0.00182771218893593
ENSSSCG00000009219,4.27747032285333,2.83849801538757e-05,0.00189287578382454
ENSSSCG00000033199,3.92436248424101,2.86466291277638e-05,0.00189513862427362
ENSSSCG00000007851,-4.91059982454119,2.87786121311195e-05,0.00189513862427362
ENSSSCG00000001909,-3.86008003888484,2.88115530998403e-05,0.00189513862427362
ENSSSCG00000030033,4.18958017550789,2.8854451906493e-05,0.00189513862427362
ENSSSCG00000006719,3.81466337004924,2.9681557013251e-05,0.00193980289895064
ENSSSCG00000017359,3.89792285680929,2.97573900614662e-05,0.00193980289895064
ENSSSCG00000013049,-3.847856773293,3.01921451978428e-05,0.00196079957898677
ENSSSCG00000059456,-7.87325611338493,3.05039971795432e-05,0.00197368799594777
ENSSSCG00000025483,-3.80766807675049,3.08136215798645e-05,0.00198633734665756
ENSSSCG00000060833,-4.89045934587051,3.10259202291015e-05,0.00199264258888381
ENSSSCG00000005762,3.8348035719644,3.14714027692836e-05,0.00201382266617419
ENSSSCG00000029606,3.79597475431962,3.24753182700907e-05,0.00207045023623051
ENSSSCG00000014827,-4.46687660125056,3.36944745225951e-05,0.00214033696739331
ENSSSCG00000008607,4.87150817111964,3.3822207856855e-05,0.00214063828272204
ENSSSCG00000008997,4.22942297771482,3.41789131848063e-05,0.00215512446757368
ENSSSCG00000004718,3.80120959258473,3.42987347037006e-05,0.00215512446757368
ENSSSCG00000045027,7.684697246168,3.48021232938993e-05,0.00217107869509075
ENSSSCG00000017320,7.684697246168,3.48021232938993e-05,0.00217107869509075
ENSSSCG00000042573,5.36161541953897,3.5100396916139e-05,0.00218186574401928
ENSSSCG00000040950,-7.82615548467598,3.57866666640562e-05,0.00219280012575255
ENSSSCG00000059145,-7.82615548467598,3.57866666640562e-05,0.00219280012575255
ENSSSCG00000040947,-7.82615548467598,3.57866666640562e-05,0.00219280012575255
ENSSSCG00000031620,-7.82615548467598,3.57866666640562e-05,0.00219280012575255
ENSSSCG00000040650,-4.8493147390124,3.61582094852618e-05,0.00219280012575255
ENSSSCG00000028923,-4.8493147390124,3.61582094852618e-05,0.00219280012575255
