genes	endo03	endo06	endo09	ovary03	ovary06	ovary09	ovid03	ovid06	ovid09
ENSSSCG00000007061	-1.06162107415848	-1.54132584497457	-1.16188065245812	0	4.46906427242344	0	-3.35500667350142	-2.34519751117391	-5.2698350199153
ENSSSCG00000007079	0.115961721173097	-5.43952271833298	-4.61267465871208	0.417291246143849	-0.0889439584049926	0.11808196693174	-0.682566108442052	0.408110624107198	0.991834984827702
ENSSSCG00000007083	0	0	0	0	0	0	6.89079705847694	0	0
ENSSSCG00000007099	-1.43818530976383	-0.45927405163407	-0.936831291281085	-7.67820736676378	-2.54048241090086	-2.23968112049957	-3.88446140304535	-7.99248243061081	-2.40629820765317
ENSSSCG00000007114	-1.16647050752728	0.244726753931819	-0.045232164162532	-7.73042320229519	-1.80305441589148	-7.59226240084656	0.758393516848505	1.38183936686114	1.42978150612547
ENSSSCG00000007130	0	1.26614479270732	0	-4.48120701867702	-7.72707382655596	-4.18602192885639	-4.85708385137766	-6.19635063574401	-8.54657321506194
ENSSSCG00000007164	5.29432348893656	4.55438403351182	0	0	0	0	5.19911314961986	7.05268670354624	3.29024011255111
ENSSSCG00000007219	0	0	0	0	6.07709261711111	4.59785363971493	0	0	0
ENSSSCG00000007221	0	0	0	-2.56591539744213	-2.55899005263933	0	13.3368333581193	9.46874109034351	0
ENSSSCG00000007224	0	0	0	0	0	0	5.73683950470296	7.4837281622601	5.94955707044732
ENSSSCG00000007260	0	0	0	0	0	0	0	8.13481049470605	0
ENSSSCG00000007382	0	0	0	-1.81227506164557	-2.78449134349466	-1.91087462207521	-5.41489396523277	-4.59323995476784	-3.93679733364131
ENSSSCG00000007391	-3.45569850725028	-5.47307921719205	-4.40219132448986	-3.58256718834399	-3.3961756338283	-0.845856242562615	-1.73226884910886	0.468404522976086	0.527282290801306
ENSSSCG00000007436	-1.41390175314992	-5.46586531235799	-6.28329677073568	-2.78495266218021	-3.03807234021537	-3.46113953261115	-0.301122225145712	-0.966161864097439	-1.63049390943642
ENSSSCG00000007485	-1.65943397211849	-3.49625842082041	-5.37887258290626	-1.40677061933892	-0.0382779158522809	-1.25440623037326	-0.945351032613229	-0.114777242706053	0.200752751329613
ENSSSCG00000007486	-1.47354788108881	-4.53849545844336	-6.09234640197267	0	0	0	2.84231759938627	4.84388003240473	4.19509096354986
ENSSSCG00000007488	0.602592744135301	1.15386386681434	0.25745952077441	-7.31764838442857	-2.17992809889287	-2.84317100733785	0.362260195824553	0.837684518500585	0.992281687623284
ENSSSCG00000007507	0	0	0	0	10.6634509189057	10.595158180599	0	0.523372275725664	2.37190688063202
ENSSSCG00000007526	-0.040263124578276	-1.42128844587695	-0.461357207090247	-0.820022948086001	-1.32034868494489	1.01663826141474	0	7.21342319725101	7.73692691122566
ENSSSCG00000007528	0	5.65714132584863	4.58677877904695	-1.78698150443938	-2.35786120130932	-3.03608017528562	3.70859163495316	2.0971076388206	1.32154407855542
ENSSSCG00000007538	0	0	0	-9.14762349859837	-4.96938728302866	-5.60279304323656	0.997042254363122	0.62257563834369	-0.566964390856266
ENSSSCG00000007578	7.14699353691178	12.3070581558299	11.841981603408	0	0	0	2.90300567316447	0	0
ENSSSCG00000007702	0	0	0	-3.79337486958161	-3.0530063693408	-5.04971547895495	0	0	0
ENSSSCG00000007703	-1.26133755306971	-1.64612955893761	0	0	-1.37935567295878	0	-5.04554673118836	-2.17305588812569	-4.13697187266849
ENSSSCG00000007716	0	0	8.93260028789371	0	0	0	0	0	0
ENSSSCG00000007816	-0.577245120726695	-3.48156508289884	-2.36395992535283	-2.91186970818865	-0.174583198047676	-1.26834178578389	-2.41802685496305	-8.77597637388914	-3.75924517728059
ENSSSCG00000007836	-1.39529146422418	-0.403636243539602	0.770715427435268	0	0	0	-9.62837316975514	-1.49186158830595	-0.820370458442173
ENSSSCG00000007847	-0.429806276988978	-2.5257135524852	-5.93160421274423	0	0	0	0.891927616304196	1.18700358805065	0.851517443058735
ENSSSCG00000007859	1.11998275138809	-3.839108536968	-9.38721784509611	0	0	0	-1.22015811158986	-0.970148706922134	-0.500375428070782
ENSSSCG00000007861	-0.0918183269344797	-1.1045717555694	-1.18175198375771	0	0	0	-1.94544037638175	-1.16339032957589	-8.25622449852814
ENSSSCG00000007868	2.05116998706383	6.04919161178867	5.1906847816999	0	2.13135545219588	0	-2.5951948055243	0.763253832536797	0.0958436302607345
ENSSSCG00000007917	-1.43357485536488	-4.75015827498249	-1.41708568723107	-0.822104399656806	-1.61338254017403	-7.59226240084656	-2.6033499905743	-1.09966669500934	-1.60985410818061
