genes,Min_FDR,Max_abs_logFC
ENSSSCG00000052907,1.24793441904332e-07,7.2810912535716
ENSSSCG00000024314,1.3822519167093e-07,8.70401336326348
ENSSSCG00000007130,1.39115987095252e-07,8.54657321506194
ENSSSCG00000045226,1.41045917965584e-07,10.5700710025053
ENSSSCG00000027654,1.43649102328345e-07,10.9000076348392
ENSSSCG00000014983,1.45740531851069e-07,10.5542275374518
ENSSSCG00000033183,1.45740531851069e-07,8.11961507311578
ENSSSCG00000057970,1.46336549893462e-07,6.49402515277919
ENSSSCG00000015636,1.50528161057825e-07,7.63768766653691
ENSSSCG00000048151,1.50949782934531e-07,10.7009028159265
ENSSSCG00000008824,1.53874342676734e-07,10.8410466698259
ENSSSCG00000029311,1.54869263145911e-07,10.6860385210333
ENSSSCG00000017717,1.55333507556141e-07,6.5472667965278
ENSSSCG00000016184,1.58949755210426e-07,7.13875945479937
ENSSSCG00000006464,1.63326589512683e-07,6.6180387271393
ENSSSCG00000004676,1.63326589512683e-07,6.49147454992722
ENSSSCG00000052429,1.82164776538833e-07,10.7203671796876
ENSSSCG00000014843,1.83057667574357e-07,7.36645676035747
ENSSSCG00000018073,1.84897022600046e-07,10.7789595631509
ENSSSCG00000039573,1.85213600850397e-07,6.5561196519732
ENSSSCG00000029990,1.88017134185614e-07,6.56103314644979
ENSSSCG00000007607,1.952958773285e-07,10.7615524826456
ENSSSCG00000002443,2.17711434796538e-07,6.38043362821356
ENSSSCG00000003483,2.18645307386862e-07,10.446773316635
ENSSSCG00000008564,2.189320766443e-07,10.3358116759844
ENSSSCG00000011851,2.28495332032026e-07,7.61977442957815
ENSSSCG00000001989,2.300703725377e-07,9.62310432595026
ENSSSCG00000036183,2.36285948336461e-07,9.19887041649699
ENSSSCG00000008634,2.41316940856729e-07,6.53509375173746
ENSSSCG00000011441,2.53333356029489e-07,7.30534085309786
ENSSSCG00000053630,2.54562749932691e-07,10.7562969724064
ENSSSCG00000012409,2.54562749932691e-07,6.52334371870551
ENSSSCG00000060584,2.62819867849424e-07,8.22234339276286
ENSSSCG00000060745,2.68559884837937e-07,10.3943441803511
ENSSSCG00000036943,2.77755004396196e-07,10.4730632035129
ENSSSCG00000034942,3.03114777833406e-07,6.3742841388147
