Gene_name,genes,logFC,PValue,FDR
ALOX15B,ENSSSCG00000017978,-3.67505388531891,9.27929706671922e-05,0.00736157151586763
,ENSSSCG00000056332,-3.65352290224025,9.32281968456029e-05,0.00736157151586763
MYO7A,ENSSSCG00000014876,-3.6109324680824,9.3443351666875e-05,0.00736157151586763
,ENSSSCG00000013976,7.51566118554136,9.65512301238322e-05,0.00757390760749172
KCNQ5,ENSSSCG00000004281,-4.00381943575562,0.0001001108570436,0.00781972294422262
,ENSSSCG00000060206,-3.57040514997387,0.000102927926731412,0.0080056992503466
GNMT,ENSSSCG00000033214,3.51834900213855,0.000104780241045844,0.00811538440775322
NMB,ENSSSCG00000036907,3.62574092317614,0.00010879988553531,0.00839130545750481
WNT2,ENSSSCG00000016628,-3.48354184203689,0.000110578336924961,0.00849278641252965
RRAD,ENSSSCG00000036060,-3.52003092042972,0.000111404165582859,0.00852056193099563
,ENSSSCG00000030830,-7.33844265485412,0.000113254688068141,0.00859050848834211
MIOX,ENSSSCG00000023749,-7.33844265485412,0.000113254688068141,0.00859050848834211
,ENSSSCG00000062648,7.45460337367122,0.000117341877991861,0.00882757177220736
,ENSSSCG00000053684,7.45460337367122,0.000117341877991861,0.00882757177220736
TRIM50,ENSSSCG00000007703,-4.13697187266849,0.000117950779258357,0.00883716124108738
,ENSSSCG00000010359,-3.58361530383545,0.000121663072949355,0.00905075218298679
,ENSSSCG00000058302,3.75122103901327,0.000122263120227697,0.00905075218298679
PDE6C,ENSSSCG00000010480,-3.55196109369359,0.000122280809619782,0.00905075218298679
PAPPA2,ENSSSCG00000015512,-3.46025731851095,0.00012354496760394,0.00910759608569449
UPK3A,ENSSSCG00000031423,3.52735059701061,0.000127924200411549,0.00939244787760948
PABPC1L,ENSSSCG00000007382,-3.93679733364131,0.000128432360932664,0.00939244787760948
PEBP4,ENSSSCG00000009631,-3.49311776993583,0.000129407803160771,0.00942622870959965
C1QTNF6,ENSSSCG00000055678,-3.44286220877378,0.000133161204347007,0.0096362193914427
CYP4F22,ENSSSCG00000023607,-4.49688204006363,0.000133340582121728,0.0096362193914427
,ENSSSCG00000000239,-4.98538549880867,0.000134969826302205,0.00971571032001281
HSD17B13,ENSSSCG00000057393,-3.48253375802506,0.000136533879706424,0.00978990584332465
TRPV6,ENSSSCG00000016469,3.46987035456734,0.000137822959972053,0.00983747421120288
PLD5,ENSSSCG00000021132,-3.99145213402323,0.000138269140689167,0.00983747421120288
HSD17B11,ENSSSCG00000009225,-3.41940642876833,0.000138948147298035,0.00984761464016497
CDC20B,ENSSSCG00000048484,-3.55782529488559,0.00014174361005367,0.0100070988697891
,ENSSSCG00000036149,7.39084683373523,0.000143502349479155,0.010092448762603
FGF19,ENSSSCG00000012871,-7.26093529212359,0.000145190618627979,0.0100951477103606
,ENSSSCG00000058307,-7.26093529212359,0.000145190618627979,0.0100951477103606
GTSF1,ENSSSCG00000026333,-7.26093529212359,0.000145190618627979,0.0100951477103606
ABCA4,ENSSSCG00000006890,-3.57635589188144,0.00014974182632166,0.01034994688353
SLC6A7,ENSSSCG00000014447,-4.4630288115144,0.000150463504353481,0.01034994688353
SLC24A2,ENSSSCG00000005167,3.88822356206515,0.000150546732289306,0.01034994688353
PAH,ENSSSCG00000000856,-3.83416545769066,0.000152013797231145,0.0104118106790108
RHEX,ENSSSCG00000015638,4.20350931261084,0.000155504213217556,0.0105939086326175
SLC1A6,ENSSSCG00000013833,-3.884404948748,0.000155826723186245,0.0105939086326175
ZNF385C,ENSSSCG00000028051,-3.39188464656457,0.000157554648021784,0.0106595211816266
MSMB,ENSSSCG00000010400,3.38966635205299,0.000157953244792026,0.0106595211816266
PGR,ENSSSCG00000014977,-3.39733912237943,0.000159210787510064,0.0107050300935338
,ENSSSCG00000016183,-4.42836208054221,0.000170176527981855,0.0114005852103465
,ENSSSCG00000034286,7.32414192402681,0.000176668256510374,0.0117924455145615
ANO5,ENSSSCG00000013344,-3.40979283464682,0.000177437921989062,0.011800907594316
WNT16,ENSSSCG00000016617,4.4060862065808,0.00017943678673651,0.0118907641059039
PLBD1,ENSSSCG00000057970,3.43700210223538,0.000181322785594635,0.0119725217711335
,ENSSSCG00000036622,3.72854800673855,0.000186649849145616,0.0122384886782885
SLC25A48,ENSSSCG00000014311,-7.1790263330257,0.000188017749361373,0.0122384886782885
,ENSSSCG00000048276,-7.1790263330257,0.000188017749361373,0.0122384886782885
KRT73,ENSSSCG00000000250,-7.1790263330257,0.000188017749361373,0.0122384886782885
SRPX2,ENSSSCG00000012482,-3.50063110194052,0.000198811300133657,0.0128953364849944
,ENSSSCG00000023320,3.571766492499,0.000205129770231149,0.0132583171209964
,ENSSSCG00000058484,-3.53496729247122,0.000212586690182174,0.0136920746841543
,ENSSSCG00000044004,3.46222472425645,0.000215105754962923,0.0138058784548931
LIPH,ENSSSCG00000011793,3.51101553776417,0.000218962482527018,0.0139134284654186
HOXA11,ENSSSCG00000016698,7.25420267683099,0.000219055394775876,0.0139134284654186
,ENSSSCG00000033927,7.25420267683099,0.000219055394775876,0.0139134284654186
PPM1J,ENSSSCG00000006774,-3.30832749343506,0.000222789245727553,0.0140883236978885
REXO2,ENSSSCG00000015056,-3.29457603568775,0.00022334398540453,0.0140883236978885
GRAMD1B,ENSSSCG00000015144,3.34807137285722,0.000226653223896904,0.0142481047186698
SGCD,ENSSSCG00000058577,-3.37945352398147,0.000227947531009866,0.0142805627277034
CDH8,ENSSSCG00000040687,-3.77354170060072,0.000233605755779948,0.0145756273405007
,ENSSSCG00000005216,3.48260558613987,0.000243157855794727,0.0145756273405007
PTGS2,ENSSSCG00000015579,-3.49776274368116,0.000243927075737289,0.0145756273405007
,ENSSSCG00000058969,-3.49776274368116,0.000243927075737289,0.0145756273405007
,ENSSSCG00000057979,3.65463077454595,0.000244417491086517,0.0145756273405007
RLBP1,ENSSSCG00000001836,3.75375805537247,0.000245393687262152,0.0145756273405007
SKA1,ENSSSCG00000004518,-7.092185589556,0.000246156269097582,0.0145756273405007
,ENSSSCG00000035964,-7.092185589556,0.000246156269097582,0.0145756273405007
,ENSSSCG00000052602,-7.092185589556,0.000246156269097582,0.0145756273405007
,ENSSSCG00000054838,-7.092185589556,0.000246156269097582,0.0145756273405007
SCN2A,ENSSSCG00000015905,-7.092185589556,0.000246156269097582,0.0145756273405007
RAB9B,ENSSSCG00000032672,-7.092185589556,0.000246156269097582,0.0145756273405007
BEX5,ENSSSCG00000012514,-7.092185589556,0.000246156269097582,0.0145756273405007
HCN4,ENSSSCG00000001920,-7.092185589556,0.000246156269097582,0.0145756273405007
SLC16A8,ENSSSCG00000000113,-7.092185589556,0.000246156269097582,0.0145756273405007
AQP6,ENSSSCG00000000212,-7.092185589556,0.000246156269097582,0.0145756273405007
,ENSSSCG00000061150,-7.092185589556,0.000246156269097582,0.0145756273405007
