,logFC.groupovary,logFC.groupovid,PValue,FDR
ENSSSCG00000012271,0.274211623914858,0.0557225434423244,0.318978728169956,0.370731399373041
ENSSSCG00000010235,-0.332480350540188,-0.114708937811537,0.319113038504643,0.370863848843098
ENSSSCG00000014028,-0.254607204588837,0.149344674376351,0.31926176709796,0.371013036831604
ENSSSCG00000017571,-0.725164673729794,-0.669445818546266,0.319443148452609,0.371200149040384
ENSSSCG00000040425,0.240212270550543,-0.0622535835245489,0.319556323003416,0.371307984596676
ENSSSCG00000014414,-0.272542435134562,-0.143045698566491,0.319707782587621,0.371460288803112
ENSSSCG00000025303,0.230164210962222,0.0883411936351257,0.319736198909994,0.371469621888036
ENSSSCG00000021210,0.0753170605497957,-0.203700760147402,0.319810347776884,0.371532082481413
ENSSSCG00000037710,-0.0168750811474001,-0.318145381274024,0.320042506871716,0.371778088043737
ENSSSCG00000035997,-0.27342524769122,-0.00382076029551105,0.320204710123891,0.371934238508827
ENSSSCG00000006845,-0.338099886999358,-0.168884240104704,0.320217745950587,0.371934238508827
ENSSSCG00000039183,0.213978110706165,-0.148003213108721,0.320489414900738,0.372226059343002
ENSSSCG00000062589,0.028593680523501,-0.405997817407237,0.320632521579926,0.372368536405339
ENSSSCG00000017919,0.0443569756130766,-0.240945773311658,0.320937955704944,0.372699503266864
ENSSSCG00000042151,-0.29782120272574,0.114403962011986,0.322278752571916,0.374232699558468
ENSSSCG00000032235,0.201662761678338,-0.0649448253676946,0.322733422963395,0.374736788791648
ENSSSCG00000006481,-0.0829614261997526,-0.38913901496785,0.322826768765007,0.374821294213398
ENSSSCG00000032073,0.186387548159113,0.266975898930274,0.323041891182402,0.375047169835516
ENSSSCG00000014399,-0.384468786370986,0.0210673138506254,0.323215008396083,0.375224252325788
ENSSSCG00000018055,-0.0226494479748247,0.30920433308877,0.323350208662667,0.375357296813073
ENSSSCG00000025924,0.0209749202865864,0.535828276715012,0.323648890087867,0.375680087449764
ENSSSCG00000013007,-0.167615196785082,0.0765899405803016,0.324086357503548,0.376163924536313
ENSSSCG00000003809,0.24113382670625,0.295304811143995,0.324544254979054,0.376671411459577
ENSSSCG00000035585,0.160915895580805,-0.206865865171554,0.32473920097116,0.376873667356455
ENSSSCG00000012328,0.203959890327977,-0.0251224032095391,0.324767988219636,0.376883075478519
ENSSSCG00000016118,-0.502334930075961,-0.562712868956298,0.324856304607896,0.376961559705463
ENSSSCG00000012912,0.149043529006025,-0.428242483568502,0.325188624535763,0.377323156344056
ENSSSCG00000022434,-0.407622395367656,-0.15416923384425,0.325433325393108,0.377583047174126
ENSSSCG00000026064,-0.37556611232992,-0.204938040797159,0.325715727014338,0.377871495444237
ENSSSCG00000000531,0.550946525191501,0.287575878691192,0.325738828530517,0.377871495444237
