Gene_name,genes,logFC,PValue,FDR
KCNH1,ENSSSCG00000040650,-5.2707750560392,4.87772758544403e-05,0.00330621911148706
,ENSSSCG00000000983,3.68513929271875,5.06882136118571e-05,0.00342287824502541
SLCO4A1,ENSSSCG00000039419,3.70268634387601,5.14411532302245e-05,0.00346076116694383
RBFOX1,ENSSSCG00000007917,-4.75015827498249,5.24801875385833e-05,0.00350451030118762
DRP2,ENSSSCG00000012492,-4.75015827498249,5.24801875385833e-05,0.00350451030118762
,ENSSSCG00000050609,-7.63906072872508,5.33855231639616e-05,0.00353875361266995
,ENSSSCG00000006842,-7.63906072872508,5.33855231639616e-05,0.00353875361266995
MMP13,ENSSSCG00000014988,-3.91145343703947,5.3794489273886e-05,0.00355280088501159
AQP6,ENSSSCG00000000212,-4.72512217961738,5.75382430956868e-05,0.00378618439056654
LIF,ENSSSCG00000040961,-3.76383381774322,5.88876548446753e-05,0.00386088878854362
GAD2,ENSSSCG00000011060,4.13885354576161,5.97776985020082e-05,0.00390364868385902
RNF122,ENSSSCG00000036062,3.64353473820587,5.99728610886827e-05,0.00390364868385902
,ENSSSCG00000057672,4.06299386577997,6.40508943346898e-05,0.00415409217573546
,ENSSSCG00000058863,-7.58046857034207,6.48400219195541e-05,0.00417523426860558
SV2C,ENSSSCG00000034062,-7.58046857034207,6.48400219195541e-05,0.00417523426860558
CHGA,ENSSSCG00000002456,-3.64415398824848,6.59482702907004e-05,0.00423148510085882
YJEFN3,ENSSSCG00000013935,7.54346872791785,6.86347922814023e-05,0.00438824576182157
,ENSSSCG00000035724,3.60747495007236,7.01767601103284e-05,0.00447097874483824
,ENSSSCG00000042842,-3.76972739305154,7.1472897712644e-05,0.00453752234422173
STMN2,ENSSSCG00000006160,-3.9133927079239,7.3442970938727e-05,0.00464623426675526
IFNE,ENSSSCG00000005136,3.65581169183586,7.84936858910412e-05,0.00494839565250165
FBXO43,ENSSSCG00000053859,-7.51939570494269,7.92382687336163e-05,0.00496064578217744
,ENSSSCG00000035851,-7.51939570494269,7.92382687336163e-05,0.00496064578217744
,ENSSSCG00000056056,-5.1336835873524,7.963485899477e-05,0.00496822320995053
,ENSSSCG00000005961,-4.23784959936172,8.01970262485868e-05,0.0049707438846264
ADD2,ENSSSCG00000020736,-4.0026662722786,8.02266483874811e-05,0.0049707438846264
ST6GALNAC1,ENSSSCG00000017172,3.58185143192168,8.08476804780101e-05,0.00499206739389905
,ENSSSCG00000013665,-4.62039284938109,8.42910585949551e-05,0.00513604934020241
,ENSSSCG00000042582,7.47968986076979,8.46038077670613e-05,0.00513604934020241
,ENSSSCG00000063104,7.47968986076979,8.46038077670613e-05,0.00513604934020241
,ENSSSCG00000060539,7.47968986076979,8.46038077670613e-05,0.00513604934020241
CHRNA6,ENSSSCG00000023338,7.47968986076979,8.46038077670613e-05,0.00513604934020241
CYP26C1,ENSSSCG00000010474,4.6119567688356,8.71743857012651e-05,0.00525670292372511
SNORA42,ENSSSCG00000027845,4.6119567688356,8.71743857012651e-05,0.00525670292372511
,ENSSSCG00000054029,5.10556060382743,8.80418498979477e-05,0.00529131517886666
DLK2,ENSSSCG00000001682,4.02578048386644,9.14337045473671e-05,0.00547690927903332
CTNNA2,ENSSSCG00000008250,3.92199023798022,9.18622384793643e-05,0.00548435814497662
UNC93A,ENSSSCG00000027404,3.52630342999443,9.33850606841674e-05,0.00553983516462597
CCBE1,ENSSSCG00000004907,-3.66135346042797,9.34059839182637e-05,0.00553983516462597
,ENSSSCG00000035347,3.96092552491486,9.40707794107215e-05,0.00556097099270593
