Gene stable ID,Gene name
ENSSSCG00000037004,
ENSSSCG00000057904,
ENSSSCG00000038775,U6
ENSSSCG00000036350,
ENSSSCG00000039765,SNORA26
ENSSSCG00000034822,SNORA26
ENSSSCG00000026052,LSM14B
ENSSSCG00000017010,INSYN2B
ENSSSCG00000025965,SPDL1
ENSSSCG00000026894,NFE2L3
ENSSSCG00000017012,SLIT3
ENSSSCG00000033332,PSMA7
ENSSSCG00000036611,NPVF
ENSSSCG00000033313,SPMIP4
ENSSSCG00000033152,
ENSSSCG00000034622,
ENSSSCG00000035448,SS18L1
ENSSSCG00000033263,
ENSSSCG00000016714,CYCS
ENSSSCG00000037369,MTG2
ENSSSCG00000036696,
ENSSSCG00000031275,
ENSSSCG00000016715,OSBPL3
ENSSSCG00000056699,
ENSSSCG00000039081,
ENSSSCG00000034638,
ENSSSCG00000038462,
ENSSSCG00000040554,COL9A3
ENSSSCG00000037615,
ENSSSCG00000017014,PANK3
ENSSSCG00000039099,
ENSSSCG00000048303,
ENSSSCG00000017015,RARS1
ENSSSCG00000038631,TCFL5
ENSSSCG00000032880,OR4K13
ENSSSCG00000016716,GSDME
ENSSSCG00000024694,TAF4
ENSSSCG00000036500,
ENSSSCG00000016717,PALS2
ENSSSCG00000037018,
ENSSSCG00000050231,
ENSSSCG00000035456,WWC1
ENSSSCG00000034885,
ENSSSCG00000016718,NPY
ENSSSCG00000040591,
ENSSSCG00000037148,
ENSSSCG00000016719,
ENSSSCG00000002594,
ENSSSCG00000002202,
ENSSSCG00000056164,
ENSSSCG00000031389,OR4K2
ENSSSCG00000038792,FAM221A
ENSSSCG00000017018,TENM2
ENSSSCG00000002170,
ENSSSCG00000030388,UPP1
ENSSSCG00000060674,
ENSSSCG00000037770,
ENSSSCG00000035437,
ENSSSCG00000057700,
ENSSSCG00000040401,EEF1A2
ENSSSCG00000045043,
ENSSSCG00000037320,
ENSSSCG00000062187,
ENSSSCG00000054053,
ENSSSCG00000021095,
ENSSSCG00000062697,
ENSSSCG00000060437,
ENSSSCG00000017324,
ENSSSCG00000058371,
ENSSSCG00000058067,
ENSSSCG00000044349,
ENSSSCG00000058205,
ENSSSCG00000054275,
ENSSSCG00000033716,
ENSSSCG00000057207,
ENSSSCG00000059586,
ENSSSCG00000060491,
ENSSSCG00000060366,
ENSSSCG00000045109,
ENSSSCG00000058908,
ENSSSCG00000048913,
ENSSSCG00000057040,
ENSSSCG00000054654,
ENSSSCG00000038596,
ENSSSCG00000040118,
ENSSSCG00000049572,
ENSSSCG00000062314,
ENSSSCG00000057830,
ENSSSCG00000048246,
ENSSSCG00000031474,PTK6
ENSSSCG00000062135,
ENSSSCG00000059937,
ENSSSCG00000052662,
ENSSSCG00000061635,
ENSSSCG00000049441,
ENSSSCG00000041810,
ENSSSCG00000047630,
ENSSSCG00000040646,
ENSSSCG00000058238,
ENSSSCG00000038124,
ENSSSCG00000052052,
ENSSSCG00000062386,
ENSSSCG00000055692,
ENSSSCG00000058539,
ENSSSCG00000036706,SRMS
ENSSSCG00000062807,
ENSSSCG00000055241,
ENSSSCG00000062371,
ENSSSCG00000052165,
ENSSSCG00000059146,
ENSSSCG00000044540,
ENSSSCG00000051827,
ENSSSCG00000048030,
ENSSSCG00000062412,
ENSSSCG00000051193,
ENSSSCG00000061302,
ENSSSCG00000028527,
ENSSSCG00000020412,U6
ENSSSCG00000033795,
ENSSSCG00000025143,U6
ENSSSCG00000020206,SNORA40
ENSSSCG00000016982,
ENSSSCG00000019629,SNORA5
ENSSSCG00000021904,SNORA5
ENSSSCG00000040616,SNORA21
ENSSSCG00000018277,MIR148A
ENSSSCG00000040561,ssc-mir-196b-1
ENSSSCG00000041674,
ENSSSCG00000060851,
ENSSSCG00000039445,LRRC55
ENSSSCG00000016983,STC2
ENSSSCG00000040107,GMEB2
ENSSSCG00000048341,
ENSSSCG00000035077,INHBA
