Gene_name,genes,logFC,PValue,FDR
,ENSSSCG00000062270,8.61176387193907,8.40505168493649e-07,6.50190783913301e-05
,ENSSSCG00000051499,5.81369703762944,8.45456298144506e-07,6.51114077077689e-05
,ENSSSCG00000060833,-8.96499095590745,8.7579674133287e-07,6.68537706335505e-05
,ENSSSCG00000018072,-8.96499095590745,8.7579674133287e-07,6.68537706335505e-05
NLRP9,ENSSSCG00000003307,-5.38574439876468,8.98367113411851e-07,6.82759006193007e-05
,ENSSSCG00000041979,5.37650775021984,9.38453389629645e-07,7.10110058318886e-05
MAP1LC3C,ENSSSCG00000054590,8.57708839896001,9.62083747195354e-07,7.2168775633771e-05
WNT16,ENSSSCG00000016617,8.57708839896001,9.62083747195354e-07,7.2168775633771e-05
,ENSSSCG00000007527,-5.36656294355277,9.71178334949166e-07,7.25369749482722e-05
ZP4,ENSSSCG00000010141,-4.99102846414319,1.01385966186993e-06,7.5399829274172e-05
GGT6,ENSSSCG00000017883,-8.92385197125202,1.02412246935298e-06,7.5808151540663e-05
ST6GALNAC5,ENSSSCG00000033425,-4.98763102706823,1.02809993144366e-06,7.5808151540663e-05
,ENSSSCG00000045657,5.10699188501609,1.03358291362178e-06,7.5889511556094e-05
PAK5,ENSSSCG00000007061,4.98652938971685,1.04315322678288e-06,7.62690257961758e-05
RBP4,ENSSSCG00000010479,-5.1566237565487,1.06766188826851e-06,7.77329630248599e-05
,ENSSSCG00000034866,6.25812379153122,1.1020457281874e-06,7.94141647788366e-05
ANKDD1B,ENSSSCG00000014083,4.80581354750401,1.10530890418446e-06,7.94141647788366e-05
,ENSSSCG00000058517,-8.90283403867133,1.10908517292697e-06,7.94141647788366e-05
CHRNE,ENSSSCG00000017909,-8.90283403867133,1.10908517292697e-06,7.94141647788366e-05
,ENSSSCG00000025527,5.22194808287836,1.13879772058506e-06,8.12061189394973e-05
,ENSSSCG00000059476,4.87196349171992,1.16680535497899e-06,8.28623081601474e-05
,ENSSSCG00000058078,5.02258477251939,1.20270548247249e-06,8.50631861236056e-05
PTPN5,ENSSSCG00000013358,4.62397152843966,1.3280690573699e-06,9.35478887240068e-05
PTGFR,ENSSSCG00000039548,4.57263131634124,1.37797625083823e-06,9.64213690419326e-05
PGR,ENSSSCG00000014977,-4.60561789137456,1.37999189302858e-06,9.64213690419326e-05
PLPP4,ENSSSCG00000010691,-8.83787811502246,1.41739777611032e-06,9.85234182107359e-05
,ENSSSCG00000061804,5.08936936615348,1.42144820825739e-06,9.85234182107359e-05
LIPM,ENSSSCG00000010444,5.27309194670145,1.43189224164754e-06,9.88519074233808e-05
,ENSSSCG00000044059,5.01909663250665,1.48255302871241e-06,0.000101943170164797
H2BC5,ENSSSCG00000021411,4.56110897448888,1.5324821426722e-06,0.000104747679270508
GALNT9,ENSSSCG00000009738,-8.8155595649808,1.54147381197943e-06,0.000104747679270508
,ENSSSCG00000055921,-8.8155595649808,1.54147381197943e-06,0.000104747679270508
PCDHB7,ENSSSCG00000036961,-5.40490550240113,1.57394158686537e-06,0.00010653617116095
,ENSSSCG00000038594,-4.53927249488651,1.59753668765089e-06,0.000107712512543248
NLRP5,ENSSSCG00000044019,-8.79289031360882,1.67829862288191e-06,0.000112719219136813
C1orf116,ENSSSCG00000032446,4.68060140048847,1.70022667038896e-06,0.000113473663640045
OPRM1,ENSSSCG00000004074,8.42939808919317,1.70262884039772e-06,0.000113473663640045
LNX1,ENSSSCG00000008838,-5.224638727405,1.72397077360731e-06,0.000114455806762711
,ENSSSCG00000055798,-4.68690596809135,1.7362895666304e-06,0.000114833685536533
CCL22,ENSSSCG00000056251,-8.76985916326611,1.82938181986808e-06,0.000120530525378989
FIBIN,ENSSSCG00000022592,-4.54608690307427,1.87914351164669e-06,0.000123340146855355
CALB1,ENSSSCG00000006125,5.60994202446016,1.92734939220816e-06,0.00012602683120069
SAXO5,ENSSSCG00000013571,8.38998596427605,1.98019351093147e-06,0.00012804382792933
,ENSSSCG00000052146,8.38998596427605,1.98019351093147e-06,0.00012804382792933
FAM222A,ENSSSCG00000009927,4.51724122756392,1.98644434898725e-06,0.00012804382792933
ESRP1,ENSSSCG00000006099,-5.00358685158625,1.98775333062036e-06,0.00012804382792933
ARMC3,ENSSSCG00000011078,-8.74645437130072,1.99643612963767e-06,0.000128126834275413
,ENSSSCG00000058788,-4.49132917696172,2.02889562206844e-06,0.000129670441571019
ENPP5,ENSSSCG00000001715,4.52502917894997,2.03545476150261e-06,0.000129670441571019
,ENSSSCG00000013788,4.98533445608911,2.17295175546879e-06,0.000136954491267913
NLRP13,ENSSSCG00000024227,-8.72266361409601,2.18140810191274e-06,0.000136954491267913
NOS1,ENSSSCG00000009856,-8.72266361409601,2.18140810191274e-06,0.000136954491267913
,ENSSSCG00000054930,-8.72266361409601,2.18140810191274e-06,0.000136954491267913
FBXO2,ENSSSCG00000025667,4.52787716488011,2.19754767961969e-06,0.000137469697445668
NXPH1,ENSSSCG00000037207,-5.15926255586427,2.2418012720675e-06,0.000139733569936639
SPATA18,ENSSSCG00000008834,-5.56692292552357,2.3010463211911e-06,0.000140533917959248
BCKDHB,ENSSSCG00000004465,4.45690132020773,2.30199315051468e-06,0.000140533917959248
MNDA,ENSSSCG00000037532,-4.54475653260309,2.30337318339437e-06,0.000140533917959248
RAB39A,ENSSSCG00000031723,8.3494668511095,2.31141312432973e-06,0.000140533917959248
FDCSP,ENSSSCG00000047156,8.3494668511095,2.31141312432973e-06,0.000140533917959248
,ENSSSCG00000051666,8.3494668511095,2.31141312432973e-06,0.000140533917959248
,ENSSSCG00000036109,8.3494668511095,2.31141312432973e-06,0.000140533917959248
CHRDL2,ENSSSCG00000014843,-4.64723468079481,2.34969781618014e-06,0.000142362111044648
PCOLCE2,ENSSSCG00000011683,4.42696752919658,2.53584761912395e-06,0.000153105113394355
SLC22A1,ENSSSCG00000004041,-8.67387176754961,2.61428173830176e-06,0.000156517849100749
,ENSSSCG00000053444,-8.67387176754961,2.61428173830176e-06,0.000156517849100749
RSPO2,ENSSSCG00000006034,-4.93518430000486,2.61947000457163e-06,0.000156517849100749
,ENSSSCG00000042458,8.30777676306586,2.70836775847724e-06,0.000160721220955115
CRISP3,ENSSSCG00000024347,8.30777676306586,2.70836775847724e-06,0.000160721220955115
BEST1,ENSSSCG00000023090,-5.52257737663209,2.7411114515102e-06,0.000162109144135729
DUSP2,ENSSSCG00000035971,-4.54672324612442,2.85087957084356e-06,0.000166744222560856
CDH4,ENSSSCG00000025784,-5.51127468380913,2.86587339290465e-06,0.000166744222560856
DIRAS2,ENSSSCG00000031694,-4.534924454962,2.86669923251905e-06,0.000166744222560856
